Term,With subdivisions ǂx etc.,Tag,Left match bib field,Term in MARC
?Akisq'nuk First Nation,,[151],651,?Akisq'nuk First Nation
?Esdilagh First Nation,,[151],651,?Esdilagh First Nation
"'Ksan Historical Village (Hazelton, B.C.)",,[151],651,"'Ksan Historical Village (Hazelton, B.C.)"
Aamjiwnaang (First Nation),,[151],651,Aamjiwnaang (First Nation)
Abandoned Indian reservations,,[150],650,Abandoned Indian reservations
Abegweit (First Nation),,[151],651,Abegweit (First Nation)
Abenaki baskets,,[150],650,Abenaki baskets
Abenaki Indians,,[150],650,Abenaki Indians
Abenaki language,,[150],650,Abenaki language
Abenaki mythology,,[150],650,Abenaki mythology
"Abercrombie's Ticonderoga Campaign, N.Y., 1758",,[150],650,"Abercrombie's Ticonderoga Campaign, N.Y., 1758"
Abipon Indians,,[150],650,Abipon Indians
Abipon language,,[150],650,Abipon language
Abitibi Band of Abitibi Indians,,[151],651,Abitibi Band of Abitibi Indians
Abitibi Indians,,[150],650,Abitibi Indians
Absentee-Shawnee Tribe of Indians of Oklahoma,,[151],651,Absentee-Shawnee Tribe of Indians of Oklahoma
Abused Indian children,,[150],650,Abused Indian children
Acadia (First Nation),,[151],651,Acadia (First Nation)
"Acadians—Nova Scotia—History—Expulsion, 1755",y,[150],650,"Acadians ǂz Nova Scotia ǂx History ǂy Expulsion, 1755"
Acawai Indians,,[150],650,Acawai Indians
Acawai language,,[150],650,Acawai language
Acaxee Indians,,[150],650,Acaxee Indians
Achagua Indians,,[150],650,Achagua Indians
Achagua language,,[150],650,Achagua language
Achi dance,,[150],650,Achi dance
Achi Indians,,[150],650,Achi Indians
Achi language,,[150],650,Achi language
Achi pottery,,[150],650,Achi pottery
Acho Dene Koe First Nation,,[151],651,Acho Dene Koe First Nation
Achomawi Indians,,[150],650,Achomawi Indians
Achomawi language,,[150],650,Achomawi language
Achuar architecture,,[150],650,Achuar architecture
Achuar Indians,,[150],650,Achuar Indians
Achuar language,,[150],650,Achuar language
Achuar mythology,,[150],650,Achuar mythology
"Ackia, Battle of, Miss., 1736",,[150],650,"Ackia, Battle of, Miss., 1736"
Acoma architecture,,[150],650,Acoma architecture
Acoma dialect,,[150],650,Acoma dialect
Acoma Indians,,[150],650,Acoma Indians
Acoma Indians in literature,,[150],650,Acoma Indians in literature
Acoma mythology,,[150],650,Acoma mythology
Acoma pottery,,[150],650,Acoma pottery
Acoma Pueblo (N.M.),,[151],651,Acoma Pueblo (N.M.)
Acoma women,,[150],650,Acoma women
Adam 2 Site (Nev.),,[151],651,Adam 2 Site (Nev.)
Adams Lake (First Nation),,[151],651,Adams Lake (First Nation)
Adena culture,,[150],650,Adena culture
"Adobe Walls, 1st Battle of, Tex., 1864",,[150],650,"Adobe Walls, 1st Battle of, Tex., 1864"
Adultery (Aztec law),,[150],650,Adultery (Aztec law)
African Americans—Relations with Indians,y,[150],650,African Americans ǂx Relations with Indians
African Americans—Relations with West Indians,y,[150],650,African Americans ǂx Relations with West Indians
Agawa Site (Ont.),,[151],651,Agawa Site (Ont.)
Agdaagux Tribe of King Cove,,[151],651,Agdaagux Tribe of King Cove
Aglemiut dialect,,[150],650,Aglemiut dialect
"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California",,[151],651,"Agua Caliente Band of Cahuilla Indians of the Agua Caliente Indian Reservation, California"
Agua Caliente Indian Reservation (Calif.),,[151],651,Agua Caliente Indian Reservation (Calif.)
Aguaruna children,,[150],650,Aguaruna children
Aguaruna dialect,,[150],650,Aguaruna dialect
Aguaruna Indians,,[150],650,Aguaruna Indians
Aguaruna magic,,[150],650,Aguaruna magic
Aguaruna mythology,,[150],650,Aguaruna mythology
Aguas Calientes Indians,,[150],650,Aguas Calientes Indians
Ahantchuyuk Indians,,[150],650,Ahantchuyuk Indians
Ahiarmiut Eskimos,,[150],650,Ahiarmiut Eskimos
Ahousaht (First Nation),,[151],651,Ahousaht (First Nation)
Ahtahkakoop (First Nation),,[151],651,Ahtahkakoop (First Nation)
Ahtena Indians,,[150],650,Ahtena Indians
Ahtena language,,[150],650,Ahtena language
Aitchelitz (First Nation),,[151],651,Aitchelitz (First Nation)
Ajilee (Navajo rite),,[150],650,Ajilee (Navajo rite)
"Ak Chin Indian Community of the Maricopa (Ak Chin) Indian Reservation, Arizona",,[151],651,"Ak Chin Indian Community of the Maricopa (Ak Chin) Indian Reservation, Arizona"
Ak Chin Reservation (Ariz.),,[151],651,Ak Chin Reservation (Ariz.)
Ak-Chin Indian Community,,[151],651,Ak-Chin Indian Community
Akatek Indians,,[150],650,Akatek Indians
Akatek language,,[150],650,Akatek language
Akiachak Native Community,,[151],651,Akiachak Native Community
Akiak Native Community,,[151],651,Akiak Native Community
Aklavik (First Nation),,[151],651,Aklavik (First Nation)
Aklavik (Inuit community),,[151],651,Aklavik (Inuit community)
Akulivik (Inuit community),,[151],651,Akulivik (Inuit community)
Akurio Indians,,[150],650,Akurio Indians
Akwesasne Indian Reserve (Québec and Ont.),,[151],651,Akwesasne Indian Reserve (Québec and Ont.)
Alabama and Coushatta Indian Reservation (Tex.),,[151],651,Alabama and Coushatta Indian Reservation (Tex.)
Alabama Indians,,[150],650,Alabama Indians
Alabama language,,[150],650,Alabama language
Alabama Tribe,,[151],651,Alabama Tribe
Alabama-Coushatta Tribe of Texas,,[151],651,Alabama-Coushatta Tribe of Texas
Alabama-Coushatta Tribes of Texas,,[151],651,Alabama-Coushatta Tribes of Texas
Alabama-Quassarte Tribal Town,,[151],651,Alabama-Quassarte Tribal Town
Alacaluf Indians,,[150],650,Alacaluf Indians
Alacaluf language,,[150],650,Alacaluf language
Alaska Native corporations,,[150],650,Alaska Native corporations
Alaska Natives,,[150],650,Alaska Natives
Alaska—Antiquities,y,[151],651,Alaska ǂx Antiquities
Alatna Village,,[151],651,Alatna Village
Albany (First Nation),,[151],651,Albany (First Nation)
"Albarrada, Battle of, Chile, 1631",,[150],650,"Albarrada, Battle of, Chile, 1631"
Alberta culture,,[150],650,Alberta culture
"Alcatraz Island (Calif.)—History—Indian occupation, 1969-1971",y,[151],651,"Alcatraz Island (Calif.) ǂx History ǂy Indian occupation, 1969-1971"
Alderville First Nation,,[151],651,Alderville First Nation
Aleut art,,[150],650,Aleut art
Aleut arts,,[150],650,Aleut arts
Aleut Community of St. Paul Island,,[151],651,Aleut Community of St. Paul Island
Aleut language,,[150],650,Aleut language
Aleut women,,[150],650,Aleut women
Aleuts,,[150],650,Aleuts
Alexander (First Nation),,[151],651,Alexander (First Nation)
