voyager_location_code,alma_library_code,alma_location_code
ALMAME_VAL_NOT_FOUND,zobsolete,zzzX
693tsdcirc,techserv,circ
aas,firestone,aas
acccirc,firestone,circ
acqea,eastasian,acq
acqeaper,eastasian,acq
acqjapan,eastasian,acq
acqjpnper,eastasian,acq
acqkor,eastasian,acq
acqord,techserv,acqord
acqper,techserv,acqper
acqperkor,eastasian,acq
anxa,annex,stacks
anxaacq,techserv,acq
anxacat,annex,cat
anxacirc,annex,circ
anxadoc,annex,doc
anxafst,annex,fst
anxb,annex,stacks
anxbacq,techserv,acq
anxbcat,annex,cat
anxbcirc,annex,circ
anxbl,annex,locked
