oclc	local_id	item_type	access	rights
502399218	10	serial		
2243109	100	serial	deny	ic
2243109	100	serial	allow	pdus
4114382	1000	mono	deny	ic
6336786	10000	serial	deny	ic
6092569	100000	mono	deny	ic
80153576	1000000	mono		
11279852	1000007	mono		
23463064	1000008	multi		
5966628	100001	mono	deny	ic
24965557	1000015	mono		
811596005	10000163	mono		
4648530	100002	mono		
19686849	1000024	multi	deny	ic
502399360	1000027	mono		
11406110	1000028	multi		
21086084	1000029	multi	deny	ic
2714016	1000030	mono	deny	ic
24968037	1000032	mono		
24968399	1000038	mono		
79023447	100004	mono		
16833048	1000046	mono	deny	ic
24969163	1000049	mono		
6795182	100005	mono		
18646008	1000058	multi	deny	ic
2140094	1000059	multi	deny	ic
10146112	100006	mono		
21154437	1000060	mono		
24972254	1000061	mono		
82929998	1000065	mono		
19774500	1000066	mono	deny	ic
24973066	1000067	multi		
35812732	10000685	mono		
215736842	1000069	mono		
502399482	100007	mono		
182632990	1000070	mono		
6541272	1000071	multi	allow	pd
24974822	1000072	mono		
83905265	1000073	mono		
