oclc	local_id	item_type	access	rights
4754776	10000348	mono		
29320380	1000035	mono		
972350473	10000354	mono		
32243053	1000036	mono		
932303094	10000365	mono		
32005963	1000037	mono	deny	ic
973225789	10000373	mono		
942885642	10000379	multi		
31088411	1000038	mono	deny	ic
964451780	10000383	mono		
31091157	1000039	mono		
642356161	10000392	mono		
7447085	100004	mono		
685893	1000040	mono	allow	pdus
37361404	1000041	mono		
982249284	10000418	mono		
33206932	1000045	mono		
242778	1000046	mono	deny	ic
