voyager_location_code,alma_library_code,alma_location_code
ALMAME_VAL_NOT_FOUND,zobsolete,zzzX
693tsdcirc,techserv,circ
X,zobsolete,zzzX
aas,firestone,aas
ac,zobsolete,zac
acccirc,firestone,circ
acqea,eastasian,acq
acqeaper,eastasian,acq
acqjapan,eastasian,acq
acqjpnper,eastasian,acq
acqkor,eastasian,acq
acqord,techserv,acqord
acqper,techserv,acqper
acqperkor,eastasian,acq
acqser,techserv,acqser
anga,zobsolete,zanga
angb,zobsolete,zangb
anxa,annex,stacks
anxaacq,techserv,acq
anxacat,annex,cat
anxacirc,annex,circ
anxadoc,annex,doc
anxafst,annex,fst
anxb,annex,stacks
anxbacq,techserv,acq
anxbcat,annex,cat
anxbcirc,annex,circ
anxbl,annex,locked
anxbnc,annex,noncirc
arab,zobsolete,zarab
ast,engineer,ast
astrf,engineer,media
bdirect,resshare,bdirect
beac,rare,beac
bindcirc,techserv,circ
c,eastasian,cjk
carcirc,firestone,circ
cat,techserv,cat
catdbmcirc,techserv,circ
cdl,online,cdl
cdlres,online,cdlres
clas,firestone,clas
clasnc,firestone,clasnc
comc,zobsolete,zcomc
cook,rare,cook
cp,zobsolete,zcp
crare,rare,crare
cref,eastasian,cjkref
ctsn,rare,ctsn
ctsnrf,rare,ctsnrf
dc,techserv,dc
dixn,firestone,dixn
docs,firestone,docs
docsacq,techserv,acq
docsm,firestone,docsm
dpa,zobsolete,zdpa
dr,firestone,dr
dra,firestone,dra
drrr,firestone,drrr
dss,firestone,dss
eacat,eastasian,cat
ed,rare,ed
egsr,firestone,egsr
elf,zobsolete,zelf
elf1,online,elf1
elf2,online,elf2
elf3,online,elf3
elf4,online,elf4
etas,online,etas
etasrcp,online,etasrcp
ex,rare,ex
exb,rare,exb
exc,rare,exc
exca,rare,exca
exf,rare,exf
exho,rare,exho
exi,rare,exi
exka,rare,exka
exki,rare,exki
exl,rare,exl
exme,rare,exme
exov,rare,exov
expa,rare,expa
exrc,rare,exrc
exrl,rare,exrl
extr,rare,extr
extsf,rare,extsf
exv,rare,exv
exw,rare,exw
f,firestone,stacks
fac,firestone,fac
facq,techserv,acq
fcat,firestone,cat
fcirc,firestone,circ
fis,firestone,fis
flm,firestone,flm
flmb,firestone,flmb
flmcirc,firestone,circ
flmm,firestone,flmm
flmp,firestone,flmp
fnc,firestone,noncirc
fol,zobsolete,zfol
ga,rare,ga
garf,rare,garf
gax,rare,gax
gest,eastasian,gest
gestacq,eastasian,acq
gestcirc,eastasian,circ
gestf,firestone,gestf
gestpe,eastasian,gestpe
gestpr,eastasian,gestpr
gestprcat,eastasian,cat
gestrare,rare,gestrare
gestrf,eastasian,ref
gss,firestone,gss
gst,zobsolete,zgst
gstf,zobsolete,zgstf
gstpe,zobsolete,zgstpe
gstpr,zobsolete,zgstpr
gstr,eastasian,reserve
gstrf,eastasian,ref
gstwc,eastasian,wilhelm
hldn,firestone,hldn
hsvc,rare,hsvc
hsve,rare,hsve
hsvg,rare,hsvg
hsvm,rare,hsvm
hsvn,rare,hsvn
hsvp,rare,hsvp
hsvr,rare,hsvr
hsvw,rare,hsvw
htcsc,resshare,htcsc
htn,rare,htn
hyc,eastasian,hy
hycpe,eastasian,hype
hycrare,rare,hycrare
hycrf,eastasian,hyref
hyg,eastasian,hy
hygf,eastasian,hygf
hygpe,zobsolete,zhygpe
hygrare,zobsolete,zhygrare
hygrf,zobsolete,zref
hyj,eastasian,hy
hyjpe,eastasian,hype
hyjrare,rare,hyjrare
hyjrf,eastasian,hyref
hyk,eastasian,hy
